Content type,Object ID,User ID,First View,Last View,Views,Clicks,Liked,Completed,Times Completed,Last Completed,Max Duration,Total Duration,Max Duration Percent,Last Duration
Game,148,175991,2019-12-24 19:59:30.577338+00:00,2019-12-24 19:59:30.580654+00:00,1,1,,,,,206.701,206.701,,206.701
Video,11905,171243,2019-12-24 19:59:24.433373+00:00,2019-12-24 19:59:27.648950+00:00,1,1,,,,,751,3004,121,751
Video,12572,168192,2019-12-24 19:59:15.038646+00:00,2019-12-24 19:59:15.041676+00:00,1,0,,TRUE,1,20191224,128,128,100,128
Video,11389,171243,2019-12-02 02:18:55.756610+00:00,2019-12-24 19:58:46.792238+00:00,3,0,,,,,562,1047,96,216
Show,546,171243,2019-12-02 02:18:51.037949+00:00,2019-12-24 19:58:42.064166+00:00,3,1,,,,,,,,
Video,13742,175440,2019-12-24 19:58:32.431524+00:00,2019-12-24 19:58:32.435149+00:00,1,0,TRUE,,,,,,,
Video,13464,171243,2019-11-27 23:33:32.304663+00:00,2019-12-24 19:58:25.164100+00:00,3,0,,TRUE,1,20191224,17,21,100,17
Show,508,171243,2019-11-27 23:33:27.784352+00:00,2019-12-24 19:58:20.612450+00:00,2,0,,,,,,,,
Show,520,171243,2019-12-24 19:58:19.060407+00:00,2019-12-24 19:58:19.064781+00:00,1,0,,,,,,,,
Video,12339,175768,2019-12-14 11:16:18.018884+00:00,2019-12-24 19:58:16.219492+00:00,2,0,,,,,147,203,115,147
Show,557,175768,2019-12-14 11:16:13.530089+00:00,2019-12-24 19:58:10.092085+00:00,2,0,,,,,,,,
Video,9514,175768,2019-12-24 19:58:08.533170+00:00,2019-12-24 19:58:08.536982+00:00,1,0,,,,,,,,
Show,524,175768,2019-12-24 19:58:02.329969+00:00,2019-12-24 19:58:02.334286+00:00,1,0,,,,,,,,
Video,13164,174281,2019-11-23 15:06:58.321929+00:00,2019-12-24 19:58:01.037284+00:00,5,3,,TRUE,5,20191224,115,575,100,115
Game,127,175773,2019-12-24 19:57:59.876488+00:00,2019-12-24 19:57:59.880661+00:00,1,1,,,,,295.9560001,295.9560001,,295.9560001
Video,4259,171243,2019-11-24 03:03:54.621568+00:00,2019-12-24 19:57:44.852677+00:00,4,2,,TRUE,1,20191124,578,1122,240,53
Show,301,171243,2019-11-24 03:03:54.602555+00:00,2019-12-24 19:57:40.438058+00:00,5,1,,,,,,,,
Video,13210,130131,2019-12-24 19:57:28.289022+00:00,2019-12-24 19:57:39.753705+00:00,10,0,,TRUE,1,20191224,166,174,100,166
Video,14013,35241,2019-12-24 19:57:29.246312+00:00,2019-12-24 19:57:29.249976+00:00,1,0,,TRUE,1,20191224,941,941,100,941
Video,12574,168192,2019-12-24 19:57:29.030882+00:00,2019-12-24 19:57:29.034410+00:00,1,0,,TRUE,1,20191224,128,128,100,128
Show,581,130131,2019-12-24 19:56:55.616392+00:00,2019-12-24 19:57:26.460762+00:00,20,0,,,,,,,,
Video,13225,130131,2019-12-24 19:56:06.122252+00:00,2019-12-24 19:56:06.124965+00:00,1,0,,,,,172,172,49,172
Video,13324,175773,2019-12-24 19:56:03.839332+00:00,2019-12-24 19:56:03.839345+00:00,0,21,,,,,,,,
Show,582,130131,2019-12-24 19:55:59.263098+00:00,2019-12-24 19:55:59.265708+00:00,1,0,,,,,,,,
Video,304,130131,2019-12-24 19:55:58.944056+00:00,2019-12-24 19:55:58.947203+00:00,1,0,,,,,,,,
Show,65,130131,2019-12-24 19:55:52.831742+00:00,2019-12-24 19:55:52.835702+00:00,1,0,,,,,,,,
Video,13326,175991,2019-12-24 19:55:42.398923+00:00,2019-12-24 19:55:49.252893+00:00,1,1,,,,,1168,1168,139,1168
Show,577,175991,2019-12-16 23:27:01.039350+00:00,2019-12-24 19:55:42.385031+00:00,3,0,,,,,,,,
Video,13157,34131,2019-12-24 19:55:32.469740+00:00,2019-12-24 19:55:32.473475+00:00,1,0,,,,,866,866,288,866
Video,11014,175768,2019-12-24 19:55:16.726401+00:00,2019-12-24 19:55:16.729909+00:00,1,0,,,,,74,74,78,74
Show,541,175768,2019-12-22 16:54:06.328102+00:00,2019-12-24 19:55:11.395964+00:00,2,0,,,,,,,,
Video,13668,175991,2019-12-15 22:58:44.996100+00:00,2019-12-24 19:55:09.267575+00:00,3,2,,TRUE,1,20191215,312,365,100,53
Video,13080,174281,2019-11-27 21:13:32.002813+00:00,2019-12-24 19:55:09.167106+00:00,4,1,,TRUE,1,20191224,169,441.0313409,100,169
Show,71,175991,2019-12-15 14:11:40.943102+00:00,2019-12-24 19:55:01.824988+00:00,12,0,,,,,,,,
Game,158,176309,2019-12-20 18:52:51.850185+00:00,2019-12-24 19:54:54.555469+00:00,3,3,,,,,,,,
Video,11210,168257,2019-10-22 09:55:28.817030+00:00,2019-12-24 19:54:54.403789+00:00,11,11,,,,,21721,25473.80589,1396,560
Video,963,176696,2019-12-24 19:54:54.040238+00:00,2019-12-24 19:54:54.043964+00:00,1,0,,TRUE,1,20191224,304,304,100,304
Video,12573,168192,2019-12-24 19:54:53.821874+00:00,2019-12-24 19:54:53.825891+00:00,1,0,,TRUE,1,20191224,128,128,100,128
Video,11197,168257,2019-10-20 15:27:52.827254+00:00,2019-12-24 19:54:13.717583+00:00,88,7,FALSE,TRUE,1,20191124,24149,217018.9234,1551,560
Video,245,175773,2019-12-24 19:49:42.118726+00:00,2019-12-24 19:54:10.407946+00:00,2,6,,TRUE,1,20191224,60,60,100,60
Show,542,168257,2019-08-27 14:18:23.864396+00:00,2019-12-24 19:54:09.558992+00:00,120,43,,,,,,,,
Show,46,175773,2019-12-24 19:49:47.832827+00:00,2019-12-24 19:54:06.591536+00:00,2,0,,,,,,,,
Game,160,176691,2019-12-24 19:53:58.897626+00:00,2019-12-24 19:54:01.349554+00:00,2,2,,,,,203.112,203.112,,203.112
Video,12641,168257,2019-08-27 09:09:26.581489+00:00,2019-12-24 19:53:58.784014+00:00,7,0,,,,,528,1622,101,41
Show,530,175773,2019-12-24 19:53:57.718481+00:00,2019-12-24 19:53:57.721621+00:00,1,0,,,,,,,,
Video,11540,167566,2019-12-11 16:26:18.769022+00:00,2019-12-24 19:53:57.131101+00:00,37,4,TRUE,TRUE,35,20191218,122,4270,100,122
Show,565,168257,2019-08-27 09:09:22.959047+00:00,2019-12-24 19:53:48.373593+00:00,7,3,,,,,,,,
Video,13691,175440,2019-12-24 19:53:32.083743+00:00,2019-12-24 19:53:32.089751+00:00,1,0,,TRUE,1,20191224,330,330,100,330
Show,536,167566,2019-11-22 02:30:49.641883+00:00,2019-12-24 19:53:31.943171+00:00,10,2,,TRUE,1,20191211,,,,
Video,11749,174281,2019-11-27 21:05:59.040961+00:00,2019-12-24 19:53:25.205357+00:00,4,0,,TRUE,3,20191224,159,576,100,139
Video,12575,168192,2019-12-24 19:53:24.971677+00:00,2019-12-24 19:53:24.975477+00:00,1,0,,TRUE,1,20191224,128,128,100,128
Game,29,171243,2019-12-24 19:53:23.526990+00:00,2019-12-24 19:53:23.531318+00:00,1,1,,,,,,,,
Game,83,171243,2019-12-24 01:26:01.111972+00:00,2019-12-24 19:53:21.764605+00:00,8,8,,,,,,,,
Show,565,176656,2019-12-24 19:52:54.647007+00:00,2019-12-24 19:53:16.413090+00:00,2,0,,,,,,,,
Video,243,172511,2019-11-17 23:37:27.968107+00:00,2019-12-24 19:53:15.524959+00:00,23,0,,TRUE,21,20191222,60,1260,100,60
Video,12652,176656,2019-12-24 19:52:54.662168+00:00,2019-12-24 19:52:54.662181+00:00,0,2,,,,,,,,
Video,242,172511,2019-11-17 23:36:25.693369+00:00,2019-12-24 19:52:20.769555+00:00,23,0,,TRUE,22,20191224,60,1350.950479,100,60
Video,246,175773,2019-12-24 19:52:15.516220+00:00,2019-12-24 19:52:15.520139+00:00,1,0,,,,,2,2,4,2
Video,13692,170099,2019-12-24 19:52:08.992284+00:00,2019-12-24 19:52:08.995993+00:00,1,0,,TRUE,1,20191224,1350,1350,100,1350
Video,12576,168192,2019-12-24 19:51:40.438515+00:00,2019-12-24 19:51:40.442862+00:00,1,0,,TRUE,1,20191224,128,128,100,128
Video,13156,34131,2019-12-24 19:51:36.248753+00:00,2019-12-24 19:51:36.254670+00:00,1,0,,TRUE,1,20191224,301,301,100,301
Video,11748,174281,2019-11-27 21:03:35.138298+00:00,2019-12-24 19:50:09.081376+00:00,4,0,,TRUE,4,20191224,138,552,100,138
Video,241,172511,2019-11-17 23:35:24.234741+00:00,2019-12-24 19:49:55.085428+00:00,23,0,,TRUE,23,20191224,60,1380,100,60
Video,782,176696,2019-12-24 19:49:47.262621+00:00,2019-12-24 19:49:47.266421+00:00,1,0,,TRUE,1,20191224,305,305,100,305
Game,73,171243,2019-11-24 02:50:45.609895+00:00,2019-12-24 19:49:34.812846+00:00,7,7,,,,,172.299,505.474,,45.59700012
Video,13294,176656,2019-12-23 20:26:47.275940+00:00,2019-12-24 19:49:16.006526+00:00,2,0,TRUE,TRUE,1,20191223,558,558,100,558
Video,14005,165257,2019-12-22 18:48:02.037063+00:00,2019-12-24 19:49:09.949129+00:00,2,13,,,,,6488,6488,703,6488
Video,240,172511,2019-11-17 23:34:00.372293+00:00,2019-12-24 19:48:56.942705+00:00,24,0,,TRUE,23,20191224,60,1380,100,60
Video,11747,174281,2019-11-27 21:02:15.795261+00:00,2019-12-24 19:48:50.194065+00:00,4,0,,TRUE,4,20191224,77,308,100,77
Video,11395,174071,2019-12-24 19:47:06.938171+00:00,2019-12-24 19:48:31.341908+00:00,3,2,TRUE,,,,,,,
Video,10096,50748,2019-12-24 19:48:21.397703+00:00,2019-12-24 19:48:24.456217+00:00,1,1,,,,,11764,11764,855,11764
Game,130,176680,2019-12-24 19:48:18.853558+00:00,2019-12-24 19:48:23.150516+00:00,2,2,,,,,,,,
Video,12577,168192,2019-12-24 19:48:21.678024+00:00,2019-12-24 19:48:21.682592+00:00,1,0,,TRUE,1,20191224,128,128,100,128
Game,84,45469,2019-11-28 02:34:35.413455+00:00,2019-12-24 19:48:19.665338+00:00,20,20,,,,,1083.22,1155.626,,1083.22
Game,129,176680,2019-12-24 19:48:12.255380+00:00,2019-12-24 19:48:17.844181+00:00,6,6,,,,,,,,
Game,57,176680,2019-12-24 19:48:15.033468+00:00,2019-12-24 19:48:15.036938+00:00,1,1,,,,,,,,
Video,11376,174071,2019-12-03 02:22:57.962412+00:00,2019-12-24 19:48:05.722375+00:00,8,7,TRUE,,,,13436,27790.99271,863,15
Game,90,176691,2019-12-24 19:48:01.569522+00:00,2019-12-24 19:48:04.556607+00:00,2,2,,,,,,,,
Show,542,174071,2019-11-23 02:07:10.186659+00:00,2019-12-24 19:48:00.583610+00:00,19,15,,,,,,,,
Video,239,172511,2019-11-17 23:33:04.886785+00:00,2019-12-24 19:47:53.064465+00:00,25,0,,TRUE,24,20191224,60,1440,100,60
Video,12271,32669,2019-12-24 04:00:48.842929+00:00,2019-12-24 19:47:41.322192+00:00,3,1,,TRUE,1,20191224,300,300,100,300
Game,113,176691,2019-12-24 19:47:25.857290+00:00,2019-12-24 19:47:25.860496+00:00,1,1,TRUE,,,,,,,
Video,13591,50748,2019-11-27 20:55:15.098163+00:00,2019-12-24 19:47:21.824993+00:00,4,0,,TRUE,1,20191127,1328,2654,100,756
Video,312,32669,2019-12-24 02:18:10.052662+00:00,2019-12-24 19:47:21.773621+00:00,4,0,,TRUE,2,20191224,307,632,100,18
Video,11712,174281,2019-11-27 21:00:43.112958+00:00,2019-12-24 19:47:20.493601+00:00,4,0,,TRUE,4,20191224,88,352,100,88
Show,526,50748,2019-10-18 20:26:00.174374+00:00,2019-12-24 19:47:17.634166+00:00,7,5,,,,,,,,
Show,66,32669,2019-12-24 02:18:06.108193+00:00,2019-12-24 19:47:16.408013+00:00,2,2,,,,,,,,
Video,13690,175440,2019-12-24 19:46:58.962341+00:00,2019-12-24 19:47:02.621632+00:00,1,1,,TRUE,1,20191224,330,330,100,330
Video,238,172511,2019-11-17 23:31:05.368341+00:00,2019-12-24 19:46:51.532637+00:00,25,0,,TRUE,25,20191224,60,1500,100,60
Video,13081,175440,2019-12-15 19:33:28.248646+00:00,2019-12-24 19:46:49.734792+00:00,2,0,,,,,211,211,64,211
Show,571,175440,2019-12-15 19:33:23.474165+00:00,2019-12-24 19:46:43.506198+00:00,2,2,,,,,,,,
Video,12339,50748,2019-10-22 18:50:55.097702+00:00,2019-12-24 19:46:41.239758+00:00,4,0,,TRUE,2,20191202,128,401,100,43
Video,13185,175440,2019-12-24 19:46:38.029658+00:00,2019-12-24 19:46:38.032494+00:00,1,0,,,,,,,,
Show,557,50748,2019-10-22 18:50:49.572477+00:00,2019-12-24 19:46:37.200340+00:00,4,0,,,,,,,,
Game,151,176680,2019-12-24 19:46:09.066759+00:00,2019-12-24 19:46:15.489161+00:00,2,2,,,,,,,,
Video,12578,168192,2019-12-24 19:46:08.903121+00:00,2019-12-24 19:46:08.906448+00:00,1,0,,TRUE,1,20191224,128,128,100,128
Game,116,45469,2019-12-24 19:45:55.110437+00:00,2019-12-24 19:46:07.952364+00:00,4,4,,,,,132.8610001,132.8610001,,132.8610001
Video,237,172511,2019-11-10 02:59:50.898060+00:00,2019-12-24 19:45:50.566760+00:00,30,0,,TRUE,25,20191224,60,1542,100,60
Video,13186,175440,2019-12-24 19:45:06.817690+00:00,2019-12-24 19:45:11.243560+00:00,1,1,,TRUE,1,20191224,77,77,100,77
Video,11366,174281,2019-11-27 20:58:18.980785+00:00,2019-12-24 19:45:07.606423+00:00,4,1,,TRUE,4,20191224,131,524,100,131
Video,13155,34131,2019-12-16 06:02:52.948352+00:00,2019-12-24 19:45:05.706385+00:00,2,1,,TRUE,1,20191224,794,1095,100,301
Show,580,34131,2019-12-16 06:02:48.106929+00:00,2019-12-24 19:44:59.835538+00:00,4,12,,,,,,,,
Video,12423,175440,2019-12-24 19:44:59.104576+00:00,2019-12-24 19:44:59.107971+00:00,1,0,,,,,3,3,4,3
Show,559,175440,2019-12-09 19:05:31.123260+00:00,2019-12-24 19:44:52.997276+00:00,6,1,,,,,,,,
Video,236,172511,2019-11-10 02:58:48.752659+00:00,2019-12-24 19:44:48.624399+00:00,31,0,TRUE,TRUE,30,20191224,60,1800,100,60
Video,644,176696,2019-12-24 19:44:32.411035+00:00,2019-12-24 19:44:40.170769+00:00,1,2,,TRUE,1,20191224,304,304,100,304
Video,11349,174281,2019-11-23 23:02:28.825319+00:00,2019-12-24 19:44:37.268816+00:00,5,0,,TRUE,2,20191204,101,335,100,26
Show,101,176696,2019-12-24 03:43:10.156795+00:00,2019-12-24 19:44:36.459187+00:00,2,0,,,,,,,,
Video,780,175440,2019-12-24 19:44:29.534957+00:00,2019-12-24 19:44:29.538079+00:00,1,0,,,,,32,32,21,32
Game,89,45469,2019-11-28 03:14:19.971565+00:00,2019-12-24 19:44:27.093342+00:00,9,9,,,,,175.9890001,264.1949999,,175.9890001
Show,126,175440,2019-12-24 19:44:22.823507+00:00,2019-12-24 19:44:22.826549+00:00,1,1,,,,,,,,
Video,13111,175773,2019-12-24 19:44:12.333905+00:00,2019-12-24 19:44:12.342358+00:00,1,0,,,,,4,4,21,4
Video,12579,168192,2019-09-21 18:04:17.128988+00:00,2019-12-24 19:43:57.493018+00:00,2,0,,TRUE,1,20191224,128,202,100,128
Video,235,172511,2019-11-10 02:57:56.793889+00:00,2019-12-24 19:43:47.059753+00:00,31,0,,TRUE,31,20191224,60,1860,100,60
Game,66,176691,2019-12-24 19:43:34.178740+00:00,2019-12-24 19:43:41.217969+00:00,2,2,,,,,,,,
Video,13110,175773,2019-12-24 19:42:56.055168+00:00,2019-12-24 19:43:22.695059+00:00,1,8,FALSE,TRUE,1,20191224,29,29,100,29
Show,543,175773,2019-12-24 19:43:18.723837+00:00,2019-12-24 19:43:18.726799+00:00,1,0,,,,,,,,
Video,13292,165017,2019-12-24 19:43:18.412982+00:00,2019-12-24 19:43:18.416802+00:00,1,0,,,,,,,,
Video,13079,174281,2019-11-23 23:00:45.664827+00:00,2019-12-24 19:42:53.795663+00:00,6,1,,TRUE,4,20191224,101,499,100,101
Video,13161,175440,2019-12-24 19:42:32.573073+00:00,2019-12-24 19:42:53.517311+00:00,1,2,TRUE,TRUE,1,20191224,84,148,100,84
Video,234,172511,2019-11-10 02:56:55.210336+00:00,2019-12-24 19:42:45.521338+00:00,33,3,,TRUE,29,20191224,60,1799.904153,100,60
Video,4259,175773,2019-12-24 19:42:35.736320+00:00,2019-12-24 19:42:35.740022+00:00,1,0,,,,,,,,
Video,10629,176656,2019-12-23 20:20:03.998585+00:00,2019-12-24 19:42:35.298121+00:00,2,0,,TRUE,2,20191224,400,800,100,400
Show,301,175773,2019-12-24 19:42:31.681857+00:00,2019-12-24 19:42:31.684765+00:00,1,0,,,,,,,,
Video,233,172511,2019-11-10 02:55:54.868673+00:00,2019-12-24 19:41:58.480375+00:00,36,5,,TRUE,31,20191222,60,1923.908946,100,35.94249201
Video,12580,168192,2019-09-21 18:02:06.579942+00:00,2019-12-24 19:41:47.041420+00:00,2,0,,TRUE,2,20191224,128,256,100,128
Game,56,175773,2019-12-24 19:41:26.124896+00:00,2019-12-24 19:41:30.635856+00:00,2,2,,,,,48.16499996,48.16499996,,48.16499996
Video,14005,119832,2019-12-24 19:40:38.046886+00:00,2019-12-24 19:40:43.000734+00:00,1,1,,,,,,,,
Show,588,119832,2019-12-24 19:40:38.023228+00:00,2019-12-24 19:40:38.026944+00:00,1,0,,,,,,,,
Video,4074,119832,2019-12-24 18:26:55.726646+00:00,2019-12-24 19:40:25.659293+00:00,3,1,,TRUE,1,20191224,363,954,100,47
Show,71,119832,2019-12-24 18:26:50.620438+00:00,2019-12-24 19:40:21.397406+00:00,2,0,,,,,,,,
Video,10045,119832,2019-09-20 11:29:55.056806+00:00,2019-12-24 19:40:18.545320+00:00,2,0,,,,,1159,3477,310,1159
Show,533,119832,2019-09-20 11:29:50.694334+00:00,2019-12-24 19:40:14.311162+00:00,2,0,,,,,,,,
Video,576,119832,2019-12-24 19:40:09.259831+00:00,2019-12-24 19:40:09.263353+00:00,1,0,,,,,4,4,5,4
Game,57,176691,2019-12-24 00:21:10.167230+00:00,2019-12-24 19:40:05.400623+00:00,4,4,,,,,150.898,150.898,,150.898
Game,56,176691,2019-12-24 19:39:32.661237+00:00,2019-12-24 19:39:40.449529+00:00,2,2,,,,,8.008000135,8.008000135,,8.008000135
Video,12542,168192,2019-09-21 17:59:54.910312+00:00,2019-12-24 19:39:37.851907+00:00,2,0,,TRUE,2,20191224,128,256,100,128
Game,54,172983,2019-12-24 01:51:00.999784+00:00,2019-12-24 19:39:36.674556+00:00,9,9,,,,,,,,
Game,162,176691,2019-12-24 19:26:48.404008+00:00,2019-12-24 19:39:31.542510+00:00,4,4,,,,,,,,
gallery,36,164854,2019-12-24 19:39:30.014593+00:00,2019-12-24 19:39:30.021430+00:00,1,1,,,,,,,,
Video,232,172511,2019-11-10 02:54:29.327674+00:00,2019-12-24 19:39:25.831713+00:00,39,8,,TRUE,35,20191224,60,2182.940075,100,60
Video,690,119832,2019-12-24 19:39:06.223299+00:00,2019-12-24 19:39:06.226344+00:00,1,0,,TRUE,1,20191224,61,61,100,61
Show,541,174281,2019-11-23 15:06:58.306587+00:00,2019-12-24 19:39:04.927035+00:00,8,2,,TRUE,1,20191224,,,,
Game,9,172983,2019-12-24 19:38:15.205247+00:00,2019-12-24 19:38:27.389133+00:00,12,12,,,,,,,,
Video,231,172511,2019-11-04 20:00:22.912593+00:00,2019-12-24 19:38:26.444378+00:00,50,111,,TRUE,38,20191224,60,2408.936102,100,60
Show,46,172511,2019-11-04 20:00:19.835168+00:00,2019-12-24 19:38:20.011366+00:00,43,2,,TRUE,1,20191117,,,,
Video,13291,165017,2019-12-24 19:38:07.250519+00:00,2019-12-24 19:38:07.254275+00:00,1,0,,TRUE,1,20191224,303,303,100,303
Game,119,45469,2019-11-28 03:13:03.500515+00:00,2019-12-24 19:38:01.822471+00:00,2,2,,,,,384.6059999,460.783,,384.6059999
Video,784,119832,2019-09-20 11:42:02.117232+00:00,2019-12-24 19:38:00.423250+00:00,3,0,,TRUE,1,20191224,62,71,100,62
Show,107,119832,2019-09-20 11:41:58.510602+00:00,2019-12-24 19:37:55.980228+00:00,3,0,,,,,,,,
Video,13178,174281,2019-12-24 19:37:55.898351+00:00,2019-12-24 19:37:55.902296+00:00,1,0,,,,,218,436,33,218
Video,14014,35241,2019-12-24 19:37:41.759517+00:00,2019-12-24 19:37:54.525019+00:00,1,1,,TRUE,1,20191224,987,987,100,987
Video,11197,174627,2019-12-24 19:37:47.818843+00:00,2019-12-24 19:37:54.445457+00:00,2,0,,TRUE,1,20191224,1557,1650,100,1557
Show,588,35241,2019-12-24 19:37:21.859969+00:00,2019-12-24 19:37:41.744041+00:00,1,2,,,,,,,,
Show,542,174627,2019-12-24 19:37:26.343118+00:00,2019-12-24 19:37:40.509834+00:00,2,0,,,,,,,,
Video,12541,168192,2019-09-21 17:57:42.190735+00:00,2019-12-24 19:37:40.453229+00:00,2,0,,TRUE,2,20191224,128,256,100,128
Video,1812,174627,2019-12-24 19:18:15.230943+00:00,2019-12-24 19:37:10.827790+00:00,5,0,,TRUE,4,20191224,20,83,100,3
Video,12904,172983,2019-12-24 02:52:02.017831+00:00,2019-12-24 19:37:05.013371+00:00,21,24,FALSE,TRUE,1,20191224,1401,4181,104,1159
Game,157,35241,2019-12-24 19:36:13.426605+00:00,2019-12-24 19:37:03.869820+00:00,4,4,,,,,,,,
Video,9841,176696,2019-12-24 19:36:53.335412+00:00,2019-12-24 19:36:53.338981+00:00,1,0,,,,,,,,
Video,1811,174627,2019-12-24 19:17:50.245063+00:00,2019-12-24 19:36:48.417788+00:00,5,0,,TRUE,5,20191224,20,100,100,20
Video,10250,176656,2019-12-23 20:14:05.101857+00:00,2019-12-24 19:36:43.185476+00:00,2,2,,TRUE,2,20191224,347,694,100,347
Video,1810,174627,2019-12-24 19:17:27.430598+00:00,2019-12-24 19:36:27.085611+00:00,5,0,,TRUE,5,20191224,20,100,100,20
Video,13294,167566,2019-12-24 19:36:06.312080+00:00,2019-12-24 19:36:06.314778+00:00,1,0,,,,,,,,
Video,1352,174627,2019-12-24 19:17:04.238053+00:00,2019-12-24 19:36:05.818323+00:00,5,0,,TRUE,5,20191224,20,100,100,20
Video,12540,168192,2019-09-20 14:58:30.022300+00:00,2019-12-24 19:35:13.299217+00:00,3,0,,TRUE,2,20191224,128,334,100,128
Video,1809,174627,2019-12-24 19:16:09.523108+00:00,2019-12-24 19:35:11.540510+00:00,5,0,,TRUE,5,20191224,53,265,100,53
Video,1808,174627,2019-12-24 19:15:47.126999+00:00,2019-12-24 19:34:49.477583+00:00,5,0,,TRUE,5,20191224,20,100,100,20
Video,1525,174627,2019-12-24 19:15:24.947442+00:00,2019-12-24 19:34:28.129030+00:00,5,0,,TRUE,5,20191224,20,100,100,20
Game,51,45469,2019-12-02 00:58:34.993127+00:00,2019-12-24 19:34:16.455653+00:00,20,20,,,,,228.96,351.9819999,,228.96
Video,13157,166753,2019-09-02 09:29:25.587405+00:00,2019-12-24 19:33:45.197150+00:00,6,1,,TRUE,5,20191223,301,1505,100,301
Video,1524,174627,2019-12-24 19:15:04.540860+00:00,2019-12-24 19:33:28.680942+00:00,5,0,,TRUE,5,20191224,20,100,100,20
Video,1807,174627,2019-12-24 19:14:39.805991+00:00,2019-12-24 19:33:06.436543+00:00,5,0,,TRUE,5,20191224,20,100,100,20
Video,13290,165017,2019-12-24 19:33:02.682136+00:00,2019-12-24 19:33:02.685135+00:00,1,0,,TRUE,1,20191224,303,303,100,303
Video,12539,168192,2019-09-20 14:56:19.467098+00:00,2019-12-24 19:33:01.357174+00:00,3,0,,TRUE,3,20191224,128,384,100,128
Video,9585,127446,2019-12-23 03:02:48.346737+00:00,2019-12-24 19:32:59.345194+00:00,2,0,,TRUE,1,20191223,303,303,100,303
Video,1527,174627,2019-12-24 19:19:01.311681+00:00,2019-12-24 19:32:44.626031+00:00,4,0,,TRUE,4,20191224,20,80,100,20
Game,102,45469,2019-12-24 19:32:29.861170+00:00,2019-12-24 19:32:35.992959+00:00,2,2,,,,,,,,
Video,1526,174627,2019-12-24 19:18:39.355076+00:00,2019-12-24 19:32:23.488481+00:00,4,0,,TRUE,4,20191224,20,80,100,20
Video,10032,176656,2019-12-24 19:32:19.471740+00:00,2019-12-24 19:32:19.474719+00:00,1,0,,,,,590,590,240,590
Post,1633,164854,2019-12-24 19:32:04.721455+00:00,2019-12-24 19:32:04.724293+00:00,1,0,,,,,,,,
Video,10031,176696,2019-12-24 19:31:41.746073+00:00,2019-12-24 19:31:41.749784+00:00,1,0,,TRUE,1,20191224,309,309,100,309
Video,12538,168192,2019-09-20 14:54:09.508240+00:00,2019-12-24 19:30:52.077897+00:00,3,0,,TRUE,3,20191224,128,384,100,128
Video,10629,176680,2019-12-23 22:22:29.071575+00:00,2019-12-24 19:30:13.455843+00:00,5,0,,TRUE,4,20191224,400,1688.014082,100,400
Video,548,119832,2019-12-24 19:28:50.017743+00:00,2019-12-24 19:28:50.021191+00:00,1,0,,TRUE,1,20191224,300,300,100,300
Video,13156,166753,2019-09-02 09:24:21.192601+00:00,2019-12-24 19:28:41.045651+00:00,6,0,,TRUE,5,20191224,301,1505,100,301
Video,12537,168192,2019-09-20 14:51:57.297535+00:00,2019-12-24 19:28:40.234374+00:00,3,0,,TRUE,3,20191224,128,384,100,128
Video,4259,176656,2019-12-24 19:28:14.383321+00:00,2019-12-24 19:28:14.399745+00:00,1,0,,TRUE,1,20191224,241,241,100,241
Video,13693,170099,2019-12-24 19:28:11.028371+00:00,2019-12-24 19:28:11.032111+00:00,1,0,,TRUE,1,20191224,1350,1350,100,1350
Video,13289,165017,2019-12-24 19:27:58.893201+00:00,2019-12-24 19:27:58.896273+00:00,1,0,,TRUE,1,20191224,302,302,100,302
Video,9586,127446,2019-12-23 02:46:49.170870+00:00,2019-12-24 19:27:51.179924+00:00,2,0,,TRUE,2,20191224,304,608,100,304
Game,93,45469,2019-12-08 23:39:15.617882+00:00,2019-12-24 19:27:40.373119+00:00,16,16,,,,,1072.867,1588.887,,279.5799999
Video,13177,174281,2019-12-24 19:26:50.416849+00:00,2019-12-24 19:26:50.420425+00:00,1,0,,TRUE,1,20191224,662,662,100,662
Video,12536,168192,2019-09-20 14:49:45.923912+00:00,2019-12-24 19:26:28.585225+00:00,3,0,,TRUE,3,20191224,128,384,100,128
Video,10816,45469,2019-12-06 14:52:33.244361+00:00,2019-12-24 19:25:28.542511+00:00,3,0,,,,,97,122,23,25
Show,540,45469,2019-12-06 14:52:28.315582+00:00,2019-12-24 19:25:24.409176+00:00,3,0,,,,,,,,
Video,12416,168192,2019-09-20 14:47:36.067927+00:00,2019-12-24 19:24:18.880342+00:00,3,0,,TRUE,3,20191224,128,384,100,128
Video,10031,30654,2019-12-13 17:13:41.482555+00:00,2019-12-24 19:23:50.839466+00:00,10,0,,TRUE,5,20191222,309,1545,100,309
Video,13155,166753,2019-09-02 09:19:16.950304+00:00,2019-12-24 19:23:36.839680+00:00,16,2,,TRUE,6,20191224,301,1998,100,301
Video,646,119832,2019-12-24 19:23:34.509719+00:00,2019-12-24 19:23:34.515445+00:00,1,0,,,,,305.9848206,305.9848206,79.89159807,305.9848206
Video,13283,165017,2019-12-24 19:22:54.433217+00:00,2019-12-24 19:22:54.436151+00:00,1,0,,TRUE,1,20191224,303,303,100,303
Video,9204,127446,2019-12-23 02:39:07.286568+00:00,2019-12-24 19:22:42.995228+00:00,2,0,,TRUE,2,20191224,304,608,100,304
Video,12417,168192,2019-09-20 14:45:26.225256+00:00,2019-12-24 19:22:09.370489+00:00,3,0,,TRUE,3,20191224,128,384,100,128
